Hari Om Ele,7005978546,MASJID ROAD,BHOLA,,
Hazizu Hafta C/o Sanu,,,,,
Helim Kwakta ,,,PARDEEP,,
Hemanta Enterprises ,9366100254,,NAVNEET,,
Hemanta Luwang C/o Mani,,,,,
Henry Bhaiya,,,,,
Herbert School C/o Mani,,,,,
H.K  Hardware Tamenglong C/o Da Mani,,,,,
Honey/Angad C/o Aashish,,,,,
Hotel City Heart C/o James,,,,,
H P Sales,,,,,
Hp Sales New (2019),9774083322,THANGAL BAZAR,BHOLA,,
Ibm Hardware & Electrical C/o Ronen,,,,,
Ibochou Hardware  Luxmi Bazar,9774603710,,,,
Idhou Iben H/W & Elec. ,7629090595,MOIRANG,,,
I J Nambol ,7005080917,NAMBOL,,,
Immanuel Electrical Store,,CCPUR,PARDEEP,,
Imphal Hospital,,,,,
Imphal Hotel,,,,,
Imphal Infrastructure  (Avantika Group),8875787169,,,,
Imphal Tcp Oc Dorendro,,,,,
Inaocha Moirang Iboahnbi,,,,,
Inder Pal Virji ,8974035271,CCPUR,,,
Inder Store Babu Virji,,,,,
Indra Kumar (Gst),,,,,
International H/W Jiten,,KAKCHING,MOHIT,,
International Pharmacy,,,,,
Irabanta Mayai Imphal C/o Sana,,,,,
Ishwor Chand (MI Enterprises),7005960735,,,,
Jadumani Moirang Iboahnbi,,,,,
Jadumani NingThoukhong ,9612593591,NINGTHOUKHONG,,,
Jagjit Electrical  C/o Govind,,,,,
Jai Jaganath ,9089402032,,NAVNEET,,
Jainand Tamanglong,9862876535,,,,
Jain Ele,,,,,
Jairaj C/o Pk Construction,,,,,
Jai Shree H\W C/o Jain Hlw,,,,,
James Contractor,,CCPUR,,,
Jaswal Dipu,,,,,
Jatra Moirang Iboahnbi,,,,,
Jayenta Ningthoukhong ,9612442006,NINGTHOUKHONG,,,
Jeevan Bishanpur,8258815706,BISHANPUR,PARDEEP,,
Jeevan Mayang Imphal C/o Mohit,9615199927,,MOHIT,,
Jenz Enterprises C/o Sana2.0,8259060166,,,,
Jhamal Rims Electrical,,,,,
Jibai Singh Contractor,,,,,
Jiteen Ningthoukhong Hospital ,,NINGTHOUKHONG,,,
Jitender Mistry Tvs ,,,SANU,,
Jiten Kakching Soni,9856334404,,,,
J K Agency Parasmani Ji,,,,,
J.K And Sons C/o Sana ,9089722094,KEISHAMPAT,,,
Jk H\W Ukhrul C/o Sanu,9383274201,,SANU,,
Jk Thoubal Soni,,,,,
Jk Vr Elec ,8257937902,,NAVNEET,,
Jnims Lalit,,,,,
Jnv  C|O Sunny Staff,9615735825,,SUNNY,,
Jnv Imphal East.,,,,,
Joel Store C/o Birjit,,,,,
Johanson Luwang,,,,,
John Decor & Designed ,,,PARDEEP,,
Joshila Bcmm Wangkhei,,,,,
Joy Mongol Nambol ,,NAMBOL,,,
J.S Steel C/o Nehru Cmg,,,,,
Jyoti  H\E Moirang ,,MOIRANG,,,
Kaiser Auto,,,,,
Kaka Boban Lamkhai,,,,,
Kakwa Roshan C/o Mani,,,,,
Kala  Sonuji'S Friend,,,,,
Kamala Elc (Devan) ,7005804423,KAKCHING,MOHIT,,
Kamal Electrical ,9820337969,,NAVNEET,,
Kamal Patni,,,,,
Kanglei H W & Electrical,8794565530,,,,
Kar Enterprises,,THANGAL BAZAR,BHOLA,,
Karim Oinam Lamkhai ,,,,,
Karki Electrical C/o Sanu,9383236960,,,,
Kay Kay Singjamai ,8974123529,SINGJAMEI,MOHIT,,
K.B And Sons,,,,,
KD H\W Uripok,,,,,
Keshab Serou C/o Sanu,7005523196,,SANU,,
Keshav Enterprise C/o Navneet,,,NAVNEET,,
Key Store Pvtd,,,,,
Khalsa Medicos,,,,,
Khan Cc Pur ,,CCPUR,PARDEEP,,
Khoriphaba 2 Moirang,,MOIRANG,PARDEEP,,
Khoriphaba H\W Arun Nambol,9856289335,NAMBOL,PARDEEP,,
Khumi Gangte Madam C/o Awadhji 2022,9402770415,,,,
Kishan Elecronic C/o Seitam,,,,,
Kittu Virji B/O Principal Gnps,,,,,
Kks Thoubal C/o Neharu,,,,,
Koite H\W Store,7005139260,CCPUR,PARDEEP,,
K.P.I. Lok,9862334294,,,,
Kuber Rims,,,,,
Kumarjit H\W And Electrical Store,7005693629,,MOHIT,,
Kumar Thoubal ,9612988477,,MOHIT,,
Kv Automobile ,7005613935,THOUBAL,MOHIT,,
La Infotech,,,,,
Laishram Appliances,,,MOHIT,,
Lalit C/o Sanu,,,,,
Lalit Matai,,,,,
Lamka Ele C C Pur Pradeep,9612483503,CCPUR,PARDEEP,,
Lamka Light Point  ,,CCPUR,,,
Lamlong Rajmani,8787646089,,SANU,,
Landhoni H/W ,,,SANU,,
L B Sir C/o Sanu,,,SANU,,
Leikoi H/W ,,MOIRANG,,,
Lemax,,,,,
Lenin Mayang Imphal,9862427161,,MOHIT,,
L G Shop,8794690384,,,,
L H Enterprises,8131863905,UKHRUL,,,
Likla C Block  New Account,,,,,
Little Kingdom,,,,,
L Jiten Singh,,,,,
Lkg  Tbl. Bapi,,,,,
L. Laxmikanta Sharma C/o Mani,,,,,
Lokendro H\W Moirang Ibohanbi,7005028740,,,,
Lother Electrician,,,,,
L R Enterprises C/o Birjit,,,,,
Luther C/o Khumindok Outpost,,,,,
Luther Mistry Police Housing,,,,,
Luxmi Enterprises ,7085970590,,NAVNEET,,
Luxmi Glass Ukhrul,,,NAVNEET,,
M & S PAVING PRIVATE LIMITED,9899541007,,,,
Machin Manao Enterprises Kakwa,7005625424,,,,
Madan Mistry Koirange Side,,,,,
Maheswari C\A Accnt,,,,,
Maibam Boudhajit Singh,,,MISTRY,,
Maina Cc Pur Padeep,,CCPUR,PARDEEP,,
Mama Singjamai C/o Lulan,,,,,
Mamo Amuthoi C/o Mani,,,,,
Mamta Ele,9362659571,,,,
Mandal Ji (Cpwd),7005305228,,,,
Mangal Enterprises,897446652,,,,
Mangalam Sanitary,,THANGAL BAZAR,BHOLA,,
Mangal Rameshwor C/o Sanu,,,,,
Manglem Naoronthong C/o Sanu,,,,,
Manglem Yairipok Sunny,8787779522,,,,
Manik Das ,9436895728,,NAVNEET,,
Mani Kunj,,,,,
Manipur Diesels,,,,,
Manipur Electrical ,8132817732,,NAVNEET,,
Manish Nidhi,,,,,
Manjuri Enterprises ,9862717837,,SANU,,
Manoz Ele Cc Pur,,CCPUR,PARDEEP,,
Marble & Sanitarty ,,,NAVNEET,,
Margaret Mem,8837090552,CCPUR,,,
Mb Enterprises ,9862291511,,NAVNEET,,
Meghalaya Constructions,8974257470,,,,
Merry Com,,,,,
Mg Shop ,8794892922,POANA BAZAR,,,
MGT Motors (Manipur Golden),,,,,
Mihir Electrical,,,BHOLA,,
Milan Sir C/o Awadh Ji,,,,,
Minthang Electricals ,,CCPUR,PARDEEP,,
Mishak Pharmacy ,,,PARDEEP,,
Mm Enterprises ,,,,,
Mm Hardware ,9436892125,,NAVNEET,,
Mod Cons Singjamei (Leimapokpam Enterprises,9856199119,,,,
Mohindro Wangjing,,WANGJING,MOHIT,,
Moly Electrical (Lhingjou) ,9366009309,CCPUR,PARDEEP,,
Momo Ele. Khumanlampak,,,,,
Mongshangei Shop,6009371713,,,,
Monika H/W  (Kwakeithel),8131945437,,,,
Mother Care,,,,,
Moti Ji C C Pur Pradeep,9362095851,,,,
Ms Electricals ,,THANGAL BAZAR,BHOLA,,
Ms Hardware,,CCPUR,,,
Ms Korouhanba Hardware House (H Pholendro Patsoi),,,,,
Msm Electrical Shop,7005542370,BISHANPUR,,,
Multi Store Chekon C/o Atc Candra,,,,,
Munna Mes,9862459931,,,,
NABAD Sanatomba C/o Mani,,,,,
Nabakumar Hardware,9856398460,,,,
Naman Electrical,6009340383,THANGAL BAZAR,BHOLA,,
Nambol View ,,,PARDEEP,,
Naoba Brother Wangkhai,,,,,
Naoba Uripok C/o Mani,,,,,
Narayan Cont. Assam Rifle,,,,,
National Electrical,,THOUBAL,,,
National Yarn And Clothes Centre,,BISHANPUR,,,
Navsheen Associates,7085055693,,,,
N.B Enterprises,7629970766,,DEV,,
Nc Electrical Lamlong,,,,,
Nethai Usha,8837399028,,,,
Netra C/o Sanu,,,SANU,,
New Lamka Hardware  ,,,PARDEEP,,
New Shop Ningthoukhong ,,,,,
New Wave C/o Lulel,,,,,
Ngangkha Hardware ,,MOIRANG,,,
Ngangom Enterprises ,8787632689,,,,
Nidhu Cc.Pur John,,,,,
Nidhu C/ochingkham Church,,,,,
Nidhu C/o Chingmeirong,,,,,
Nidhu Khagampali,,,,,
Nidhu Khongshai Bank,,,,,
Nidhu Mashiland ,,MANTRIPUKHRI,,,
Nidhu Personal,,,MISTRY,,
Nidhu Sangakpham Side,,,,,
Nidhu Uripok G Sharma,,,,,
Ningthoujam H\W Wahengbam Leikai Sana,,,,,
Ninombam Enterprise,,,DEV,,
Nino System,,CCPUR,PARDEEP,,
Nirmal & Co. ,9862155884,,NAVNEET,,
N I S Ent C/o Sana,,,,,
Nitu Glass,7085713926,UKHRUL,,,
"N.I Variety Store , Chingmeirong",9856162034,,,,
Nk Thoubal ,7005597288,,SUNNY,,
Nong Maithano Afu Singh,,,,,
North East Electricals,,,,,
Noyon Singh,,POANA BAZAR,BHOLA,,
N S Variety Nambol Arun Ibohanbi,9862608403,,,,
Oc Omer Moreh,,,,,
Od Thoubal,7005499384,THOUBAL,MOHIT,,
Oks Electricals,8794063385,,,,
Opendro Yairipok,,YARIPOK,,,
Panthoibi H\W Ningthoukhong,9612217232,NINGTHOUKHONG,,,
Paragon Enterprises ,7005442665,,NAVNEET,,
Paras Electricals New (19-20),9950462889,,,,
Pavitri Trading ,7005351638,,NAVNEET,,
Phimu Electronics Spt Moses,8416068702,,,,
Phiroj Moreh C/o Sonu Virji,,,,,
Pintu C/o Mantripukhri,,MANTRIPUKHRI,,,
Pk Elec. (Pardeep),9436818049,SINGJAMEI,MOHIT,,
Pk Kakching ,8415090226,KAKCHING,MOHIT,,
Pradeep Dai Kanglatombi ,,KANGLATOMBI,SANU,,
Pradeep Staff,8119924622,,,,
Pramod Sethi B|O Vinod Sethi,,,,,
Pramod Ukhrul,6033942725,,,,
Pratap Industries ,9774356995,,NAVNEET,,
Premabati Kakching Soni,,,,,
Prenjet Mistry C/o Mega Contactar,,,,,
Prime Link Kakching C/o Sonu,,,,,
Pritam Luwang,,,,,
Public Smarts Construction,7627933166,NAMBOL,,,
Public Yairipok Sunny,7005775258,,,,
Punjab Shoes (Pal Virji),,,,,
Punya Motors Pvt Ltd ,,,,,
PY & Sons,,,MOHIT,,
Radha Ballab ,,CCPUR,PARDEEP,,
Radiant Electrical,,CCPUR,PARDEEP,,
Raffi Checkon,,,,,
Raja Plastic ,9436019513,,NAVNEET,,
Raj Checkon ,7005577275,,SANU,,
Raj Decoration,,,,,
Rajdhani Auto ,7577863978,,NAVNEET,,
Rajendra (Kamal),,,,,
Rajen Mayang Imphal C/o Sana,,,,,
Rajen Mistry,8974736916,,,,
Raj Enterprises,9206125985,,MISTRY,,
Rajesh Contractor,9831133551,,,,
Rajiv Glass,8787508860,,NAVNEET,,
Rajmoni Hospital (Diana Ji),8447669398,,,,
Rajshree Ceramics ,9612239142,,NAVNEET,,
Raju Charhajar ,8415047718,,SANU,,
Raju Electrical,9366991154,MASJID ROAD,BHOLA,,
Ramlal Ji. Assam Rifle,9436025390,,,,
Ramnath C/o Gagan,,,,,
Randan Yairipok ,7005452551,,,,
Ranjan Mes,,,,,
Ranjan Naorem ,7085861732,KAKCHING,SUNNY,SUNNY 123,
Ranjit  CPWD C/o Japan,,,,,S
Ranjit Electrical Bt Road ,8974251364,,BHOLA,,
Rankai H\W C/o Pardeep,8837315282,CCPUR,PARDEEP,,
Rao Moreh Electrical,9402648044,,,,
Ratan Sanitary Kpi ,7085178827,KPI,SANU,,
Ravi Moreh (Rn Electrical),,,,,
Ravi Place Gate,7085903940,,,,
Rd Electrical Tamanglong,,,,,
Reena Parlour,,,,,
Ria Elec 2020 Old Ac,8731021060,,,,
Riston Philips,8258870537,,,,
Riyaz Mps,,,,,
R K Bishnupur Ibohanbi,,,,,
R.K Hardware C/o Pardeep,6009644641,KWAKTA,PARDEEP,,
Rk Khangabok ,8730818685,,MOHIT,,
R K Nambol ,,,,,
R.K Sanjay C/o Mandeep,,,,,
R.K Suhen Mes,,,,,
Roji Moirang Iboahnbi,9856740269,,,,
Romen Showroom Mu,,,,,
Romeo C/o Raju Ele,9774510550,,,,
Romeo Salam,,,,,
Romio Lamlong C/o Mani,,,,,
Ronak Electricals  Raju,9366991154,,,,
Roshan Spt C/o Sanu,,SPT,SANU,,
Royal Tiles & Sanitary,,,,,
Roy Enterprises ,,CCPUR,PARDEEP,,
Rp Variety Kakching C/o Mohit,,KAKCHING,MOHIT,,
Rr Agency Singjamei ,8257865171,SINGJAMEI,MOHIT,,
Rrebika Moirangkhom C/o Lulel,,MOIRANG,,,
R.R Stationary ,7085527367,SPT,,,
R & R Store Chingmeirong,7005338278,CHINGMEIRONG,,,
R S Kakching ,8287962455,,DEEPAK,,
R.S Store ,,,PARDEEP,,
R T Kakaching,9856677951,,,,
Sagar Electrical,8787609461,,,,
Salam C/o Mohit,7005033029,KAKCHING,MOHIT,,
Samanada Thoubal ,7005703644,,MOHIT,,
Sanabam Bhaiya,,,,,
Sangai Continental,9774522693,,,,
Sangai Honda,,,,,
Sangita H\W,8974066487,,,,
Sanjay H/W Ukhrul C/o Sana,,UKHRUL,,,
Sanjay Mantipokri Sanu,9366057939,,,,
Sanjay Tamenglong,8413801209,,,,
Sanjit Enterprises Kumbi,,,,,
Sanjit  Multi Links Mobile ,7005123722,SINGJAMEI,MOHIT,,
Sanjoy Yairipok Sunny,,,,,
Sanmati Traders,,,,,
Santa Bir Machk Mathum Thobal Sunny,7005422559,,,,
Santa Kakching C/o International Ent.,897455051,,,,
Santhi Khoyathong C/o Mani,,,,,
Santosh  C/o Uripok,,,,,
Santosh Maurya Construction (Mes),9612229186,,,,
Santosh Mistryside Uripok Arvind,,,,,
Santosh Spt C/o Sanu,8794757380,,SANU,,
Saparmaina Kishor C/o Sanu,9862336615,,SANU,,
Sasa Enterprises,8787595365,,NAVNEET,,
Satish K P I Sanu,7005203713,,,,
Saya Luxmi Ningthoukhong ,8794532452,NINGTHOUKHONG,,,
Seitam Usha Staff,,,,,
S Enterprses Kanglatombi,,KANGLATOMBI,,,
Shaibo Hospital (Dr Indra),,,,,
Shanti Enterprises  ,8837001260,YARIPOK,MOHIT,,
Shantipur Electrical &Sanitary Store,9089292932,,,,
Sharat Kakching C/o Mohit,8014130784,KAKCHING,MOHIT,,
Sharat Mistry Heingang,,,,,
Sharma Electronic  CcpuR,7085297768,CCPUR,PARDEEP,,
Sharma Glass ,8415981546,,,,
Sharma Tamanglong (Shop No. 1 ),9862661776,,,,
Shija Multi Hall ,9686049237,,,,
Shree Sadafal Sales 3.0,9863666409,THANGAL BAZAR,BHOLA,,
Shree Sadafal Trading,,,BHOLA,,
Shyam Hardware ,9696383250,SPT,SANU,,
Shyam Kpi ,8732031961,,SANU,,
Shyam Thoubal C/o Sunny,,,,,
Siddharth C/o Navneet ,9862204212,,NAVNEET,,
Sikha Sanitary  ,8794742007,,NAVNEET,,
Simran Hardware &  Electrical ,9876699294,,NAVNEET,,
Sir Achouba Oc C/o Mani,,,,,
Sir Basanta C/o Mani,,,,,
Sir Gangte (I.T) Commissioner,,,,,
Sir Guite Ccpur,9958999213,CCPUR,,,
SK Electronic ,,,BHOLA,,
SK Kakching ,7005032605,,MOHIT,,
Sk Thoubal ,,THOUBAL,MOHIT,,
Smart City C/o Sonu Ji,8328925079,,,,
Sm  H/W Chingmeirom,,CHINGMEIRONG,,,
S M H\W C C Pur,,CCPUR,PARDEEP,,
Sobin Enterprises,6009716346,,,,
Sohit Khan ,9615637988,KWAKTA,PARDEEP,,
Som Variety Sanu,8732898450,,,,
Sony Elec Nagamapal ,9774741279,NAGAMAPAL,BHOLA,,
S S Sanitarty (Only Gst),9862441625,,,,
Sss Canchipur C/o Mohit,9362808490,CANCHIPUR,MOHIT,,
Star Electricals (Palel),,,,,
Star Electrical Thoubal C/o Mohit,8416008590,THOUBAL,MOHIT,,
St Electrical(Shong) ,8794541204,CCPUR,PARDEEP,,
St Enterprises C/o Navneet,9383096586,,NAVNEET,,
Subam Enterprise C/o Sanu,8132877221, ,SANU,,
Sugnu New Shop ,,,,,
Sumeet  SPT,9862003243,SPT,SANU,,
Sunder Rims,,,,,
Sungte Electrical Ccpur,,,,,
Sunil Bishnupur ,,BISHANPUR,,,
Sunny Electrical ,7629022166,,NAVNEET,,
Sunny Ele Orient A\C,,,,,
Sunny Medicos ,,,NAVNEET,,
Sunrise Enterprises ,7005209719,,NAVNEET,,
Surbala C/o  Anganba,,,,,
Surchandra Nambol,9862716067,,,,
Suresh H\W ,7005048129,CHINGMEIRONG,,,
Sureshji  K.P.I,,,,,
Surojit Next Lit C/o Plp Acc,,,,,
Susil Thoubal Sunny,8974041896,,,,
S V Mercantile C/o Sonu Virji,,,,,
Tamo Inderjeet C/o Sonu Virji,,,,,
Tamo Ratan Lamlong C/o Mani,,,,,
Tamo Samandro,,,,,
Tarbong H\W Kainbai ,,,PARDEEP,,
Tarun Singjamei,,SINGJAMEI,,,
Tashi Devson,8787381515,,,,
Tejmani Bishnupur,8787796208,BISHANPUR,,,
Tenison Kakching,8787779174,,,,
Thangjing H\W ,,MOIRANG,,,
The Castle Hotel (Tamo Ibomcha Nambol ),,,,,
The Charasu Tiles,,,,,
Thiyam  Electronic Yairipok,8413002313,YARIPOK,,,
T H Mohindro M U,,,,,
Thoiba Variety Store ,9856403699,KAKCHING,MOHIT,,
Thoibi Market Thangal Bazar,,THANGAL BAZAR,,,
Th . Sanatomba ,7085323999,BISHANPUR,,,
Tomba Bishanpur,,BISHANPUR,,,
Tomthin Enterprises ,,,NANGTHOI,,
Top H\W Heirok,8415815557,,,,
T P Electrical  ,,CCPUR,PARDEEP,,
T. Phulen Meitei (Director Yas),,,,,
Tuibong Hw Ccpur,,CCPUR,PARDEEP,,
Umati H\W ,,,SANU,,
United Machinery ,6033817667,,NAVNEET,,
United Trade Centre Uripok ,8794921041,URIPOK,DEEPAK,,
Uripok K I & Sons Hw,,,,,
Uttam Das Cc Pur,,CCPUR,,,
Uttam Mistry,,,,,
Vench Electricals ,8414801635,UKHRUL,,,
Venci Enterprises,,KAKCHING,,,
Vicky  H/W  (Kb H/W) ,,CCPUR,,,
Vikash And Associates,,,,,
Vinod H\W Near Axis Bank,,,,,
Vinod Marble ,7726992003,,NAVNEET,,
Vinod Sethji,,,,,
Vivek Mattress C/o Gagan (Near Uco Bank),,,,,
V L Enterprise ,,CCPUR,,,
Wabagai Impact\ T V C/o Sana,,,,,
Wahidur Lilong ,9863143631,LILONG,SUNY,,
Water Factory Main (Likla\ Jj Scl),,,,,
W B  Electrical ,9022251956,,MANDEEP,,
W Ibhol,9862835070,,NAVNEET,,
Y 2 K Ponna Bazer,,,SANU,,
Yaning Electrical Kawa ,7908150774,,SANU,,
Yash Enterprises Mahesh,9089955475,KANGLATOMBI,,,
Ypg Traders,9206006206,THANGAL BAZAR,BHOLA,,
Ys  Enterprises C/o Birjit,,,,,
Yumnam Enterprises,7005393061,,NAVNEET,,
Zoram H\W ,9612469904,CCPUR,PARDEEP,,
Zova & Sons,,CCPUR,PARDEEP,,
